id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged control	Unchallenged control
ENSG00000000003.13	0.15	0.94	0.47	1.46	0.67	0	0.1	0.34	0.09	0.35	0.05	0.24
ENSG00000000419.11	16.83	14	9.83	16.51	20.62	31.24	15.93	12.93	19.44	13.36	10.56	16.09
ENSG00000000457.12	11.65	12.17	8.15	10.34	10.95	24.81	13.06	10	12.74	14.63	12.27	9.93
ENSG00000000460.15	11.05	9.21	8.6	15.18	10.99	6.11	4.45	6.63	9.38	8.54	9.02	9.75
ENSG00000000938.11	192.07	146.21	179.94	165.64	146.17	197.29	152.08	173.96	168.43	173.79	138.08	176.45
ENSG00000000971.14	4.49	1.57	0.73	3.47	2.41	1.82	3.92	1.63	1.61	1.33	0.47	1.68
ENSG00000001036.12	7.25	3.2	6.69	2.86	5.37	5.53	6.21	4.65	2.78	6.82	5.4	5.64
ENSG00000001084.9	23.45	20.6	13.65	11.43	15.17	9.65	12.77	12.19	15.6	18.54	26.73	18.68
ENSG00000001167.13	17.53	14.68	10.79	13.76	10	11.56	7.84	9.73	8.6	10.32	24.59	11.14
ENSG00000001460.16	4.54	1.28	1.91	1.7	1.34	0.51	0.46	0.25	1.08	1.7	2.57	0.94
ENSG00000001461.15	10.5	13.25	7.34	11.08	11.07	3.43	2.93	5.79	3.3	7.83	16.94	6.32
ENSG00000001497.15	2.68	5.62	1.77	5.86	4.86	1.74	2.98	2.66	2.14	1.93	3.02	2.77
ENSG00000001561.6	11.95	10.31	4.97	7.21	17.71	9.92	6.52	10.29	7.14	10.14	6.97	9.98
ENSG00000001629.8	14.47	24.13	19	15.52	26.88	7.88	8.09	5.59	7.56	11.65	25.82	17.06
ENSG00000001630.14	7.62	9.43	5.72	9.19	22.64	9.86	11.83	12.56	8.07	12.91	13.22	7.82
