id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000000003.13	37.44	0.00	7.19	9.00	2.00	6.00	23.95	3.55	24.01	2.00	26.00	2.00
ENSG00000000419.11	221.00	150.00	234.00	237.00	109.00	86.00	268.00	296.00	183.00	52.00	194.00	135.00
ENSG00000000457.12	942.03	512.26	848.97	746.26	560.50	475.12	800.55	875.43	511.69	181.07	793.44	443.95
ENSG00000000460.15	387.99	85.38	413.52	349.03	254.39	159.08	312.99	321.65	346.52	75.47	376.94	128.19
ENSG00000000938.11	5813.00	2515.00	7148.00	6282.00	3404.00	2852.00	4631.00	6488.00	4492.00	1761.00	8684.00	3110.00
ENSG00000000971.14	49.00	23.00	156.00	78.00	14.00	26.00	142.00	114.00	102.00	12.00	40.00	42.00
ENSG00000001036.12	109.37	68.63	225.54	165.85	106.95	83.87	145.58	102.58	60.62	47.00	222.17	104.00
ENSG00000001084.9	480.30	96.00	374.05	408.21	436.31	139.97	375.58	304.00	237.00	90.00	407.53	157.00
ENSG00000001167.13	988.00	237.00	1108.00	671.00	836.00	254.00	528.00	556.00	587.00	166.00	855.00	274.00
ENSG00000001460.16	53.18	5.12	57.74	39.02	55.98	15.00	55.09	24.00	62.91	3.00	46.17	13.04
ENSG00000001461.15	733.00	71.00	475.00	302.00	734.00	190.00	530.00	192.00	419.00	84.00	514.00	88.00
ENSG00000001497.15	270.00	26.00	106.00	133.00	139.00	44.00	201.00	85.00	168.00	23.00	139.00	49.00
ENSG00000001561.6	867.00	258.00	940.00	752.00	369.00	341.00	1172.00	570.00	413.00	217.00	501.00	281.00
ENSG00000001617.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000001626.13	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000001629.8	734.00	148.00	684.00	609.00	735.00	225.00	879.00	382.00	415.00	106.00	789.00	189.00
ENSG00000001630.14	423.25	121.65	311.24	263.78	362.70	238.84	775.53	230.42	272.90	153.00	321.07	281.97
ENSG00000001631.13	751.14	168.00	756.95	636.56	877.49	286.40	779.85	471.55	401.09	182.73	696.85	247.15
ENSG00000002016.15	258.00	25.00	204.00	174.00	269.00	68.00	206.00	109.00	118.00	32.00	305.00	68.00
ENSG00000002330.12	37.76	11.94	59.34	40.40	15.29	9.00	19.43	25.18	21.24	9.00	26.28	5.56
ENSG00000002549.11	804.00	1757.00	581.00	551.00	580.00	2166.00	419.00	3928.00	129.00	1408.00	564.00	4151.00
ENSG00000002586.16	433.00	65.00	466.00	340.00	658.00	125.00	453.00	232.00	351.00	62.00	642.00	123.00
ENSG00000002587.8	90.04	7.00	121.06	28.00	55.00	13.00	23.01	6.00	17.00	20.00	110.41	18.01
ENSG00000002726.18	39.00	9.00	8.00	49.00	0.00	11.00	12.00	35.00	14.00	2.00	15.00	8.00
ENSG00000002745.11	34.00	7.00	47.00	40.00	30.00	19.00	61.00	12.00	12.00	1.00	33.00	6.00
ENSG00000002746.13	0.00	1.00	9.67	1.00	1.03	0.00	2.00	1.96	1.00	0.00	2.53	1.00
