Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR988499	9/19/2013 16:26	9/17/2013 22:53	86527366	17478527932	86527366	202	12153		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988499/SRR988499.1	SRX352331		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481298	SAMN02358311	simple	9606	Homo sapiens	GSM1233280							no					GEO	SRA101510		public	E0BD232D9D15703044472BF320B5ADF3	C06BB12F418FD3C637F0004469D98B7C
SRR988500	9/19/2013 16:26	9/17/2013 22:31	35291389	7128860578	35291389	202	5016		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988500/SRR988500.1	SRX352332		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481299	SAMN02358307	simple	9606	Homo sapiens	GSM1233281							no					GEO	SRA101510		public	070FC8D09624E171264AD86CE5093D76	20D3E990E62A5FBBA892B6DE34533ABE
SRR988501	9/19/2013 16:26	9/17/2013 22:58	92840581	18753797362	92840581	202	13066		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988501/SRR988501.1	SRX352333		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481300	SAMN02358317	simple	9606	Homo sapiens	GSM1233282							no					GEO	SRA101510		public	785504C1800234FE2158C6BA134CFEA0	D377AD22CD5511F585FB54E57EF4215E
SRR988502	9/19/2013 16:26	9/17/2013 22:33	41553220	8393750440	41553220	202	6052		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988502/SRR988502.1	SRX352334		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481301	SAMN02358313	simple	9606	Homo sapiens	GSM1233283							no					GEO	SRA101510		public	D0812B186348CE292FD0BDF31A37D7DE	6AC76BECC6FBB98332DF5878639ECD9E
SRR988503	9/19/2013 16:26	9/17/2013 23:15	105696186	21350629572	105696186	202	14773		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988503/SRR988503.1	SRX352335		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481302	SAMN02358308	simple	9606	Homo sapiens	GSM1233284							no					GEO	SRA101510		public	2619EBBEBA439A6269F4BE83C171CD6A	94462F89F71D100398963551798C4AC1
SRR988504	9/19/2013 16:26	9/17/2013 22:30	32489665	6562912330	32489665	202	4565		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988504/SRR988504.1	SRX352336		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481303	SAMN02358318	simple	9606	Homo sapiens	GSM1233285							no					GEO	SRA101510		public	843057DC92D0A16201D93E918567F06C	D2D73177AC5C7E265FB631D50C145AEA
SRR988505	9/19/2013 16:26	9/17/2013 22:50	86178451	17408047102	86178451	202	12529		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988505/SRR988505.1	SRX352337		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481304	SAMN02358314	simple	9606	Homo sapiens	GSM1233286							no					GEO	SRA101510		public	ADBE8983A6974E75C68659FDA6B5DA3F	2EE0F2196569E9B287EB8CD85C92ECA8
SRR988506	9/19/2013 16:26	9/17/2013 22:43	72508209	14646658218	72508209	202	10409		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988506/SRR988506.1	SRX352338		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481305	SAMN02358309	simple	9606	Homo sapiens	GSM1233287							no					GEO	SRA101510		public	E261F307C90C27A6080AEF87ABEEF1EA	B116BE43DDD62F81EDB753C2CB698044
SRR988507	9/19/2013 16:26	9/17/2013 22:50	91652110	18513726220	91652110	202	13024		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988507/SRR988507.1	SRX352339		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481306	SAMN02358316	simple	9606	Homo sapiens	GSM1233288							no					GEO	SRA101510		public	A3D6F1466CA03F3E1F226236E43CF79C	6BE9D273FB15FDC4BC504D1EE7B75339
SRR988508	9/19/2013 16:26	9/17/2013 22:37	38624797	7802208994	38624797	202	5658		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR988508/SRR988508.1	SRX352340		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP029990	PRJNA219425	2	219425	SRS481307	SAMN02358312	simple	9606	Homo sapiens	GSM1233289							no					GEO	SRA101510		public	46B27871BC633388B769BF2BF34FDA7F	EDE552916ABA7757F93DF6B3422DA5F3
