id	B002CP	B020C	B065C	B038F	B058F	B066F	B075F	B084F	B005RNP	B006RNP	B011RNP	B017RNP	B021RNP	B026RNS	B001RP	B007RP	B010RP	B012RP	DGS002CP	DGS020C	DGS058F	DGS066F	DGS011RNP	DGS017RNP	DGS021RNP	DGS026RNS	DGS012RP	DGS025RP	PCH002CP	PCH065C	PCH038F	PCH058F	PCH066F	PCH075F	PCH084F	PCH005RNP	PCH006RNP	PCH009RNP	PCH011RNP	PCH026RNS	PCH001RP	PCH007RP	PCH010RP	PCH012RP	PCH025RP
Group	Protected	Suceptible	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Protected	Protected	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Suceptible	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Duffy_FY_ive	Suceptible	Suceptible	Suceptible	Suceptible	Protected	Protected	Protected	Protected	Protected	Protected
LAT2	7.772894236	7.895655366	7.530841766	6.981788357	7.221038021	7.085209042	6.771850906	6.889088176	7.569817408	7.77167662	7.572837847	7.385596783	7.574914979	7.83665236	8.207094867	7.882078012	7.730222083	7.91873776	7.743037064	8.207181845	7.282806125	7.452748107	7.691578958	7.641073667	7.485943671	8.0755232	8.382760483	7.707539416	7.462195027	8.059149353	7.431943114	7.234436047	7.520606002	6.477789825	7.123510603	8.113450936	7.903657068	7.520670702	7.644390561	7.898421865	7.668618443	8.318565567	7.909011052	7.853614661	8.296767651
DPPA4	-1.179847011	-0.788801063	-1.516827485	0.674788504	0.62907941	0.152502155	0.437950169	0.689681105	-0.904072794	-0.34017038	-0.640787169	-0.478112989	-0.234711308	-0.439139589	-0.71258108	-0.643894463	-0.516842316	-2.167398465	-2.039961145	-4.185403911	0.480366694	-0.058772023	-0.607247344	-1.07166826	0.368200684	-4.033981016	-1.676245912	-0.781806825	-0.148302566	-1.174070851	0.726589427	-0.094370856	-0.090754189	0.963763231	0.280975381	-0.751508979	-1.356758468	-1.253127871	-0.50704887	-1.089045186	-0.742892545	-3.804262428	-0.393551718	-0.910427556	-1.401937016
MLH3	4.904961377	4.631860985	3.62884997	5.46230701	4.86939374	4.965570728	4.897381788	5.213243061	4.590691898	4.735673378	4.384747923	4.868571205	3.801947162	4.515056722	4.489765399	4.700059938	4.593581673	4.930633618	5.135962597	4.454841025	4.795408403	4.807961446	3.634338642	4.453852549	4.038448373	3.798908998	4.956749285	4.710046271	5.140618423	4.20096858	5.383417914	4.931908469	5.15025391	5.243549658	5.708226594	4.565903635	4.61396374	4.710346253	4.511614974	4.76537799	4.473044854	4.993399098	4.471047155	4.975268817	4.719078385
TMEM164	7.496991596	7.933721885	6.903132693	6.830499646	6.763163413	6.488388707	6.716554498	7.147339282	7.408397668	6.80216879	7.326644968	7.795861883	7.36869686	7.121466199	8.12145895	8.144008096	7.513072306	7.73798854	7.52913495	7.352785021	6.552595021	6.332534755	7.139826703	7.403051687	7.335316073	7.087552501	7.99838775	7.515109382	7.477927953	7.268181533	6.908102403	6.646302787	6.695366899	6.377775725	6.542793769	7.588341024	6.813881979	7.666331398	7.560833602	7.117620362	7.582038038	8.218105385	7.537579744	7.551563395	7.780953877
LINC00865	0.142081084	0.085668055	1.731100028	1.872727881	1.62907941	1.304505248	0.618522415	2.261587453	1.443850509	0.370323003	0.458748504	0.465303483	0.847750852	0.453945208	0.528427019	-0.096406668	0.193651066	0.054993956	0.097542378	-1.863475816	1.257974272	1.246082558	-0.732778227	0.137785106	0.989689061	-0.712052921	-0.50632091	-0.322375206	1.131805353	2.450420014	1.579748039	1.432876147	1.307795187	1.128822477	2.215880353	0.496418534	0.420849111	0.512406875	0.49295113	-0.574472013	0.759607795	-0.634337426	0.557538681	-0.209987838	0.083489812
TNFSF15	-0.59488451	-1.051835469	0.068135016	-1.412674338	-1.277811185	-1.432460346	-1.147012332	-1.349847259	-0.276041572	0.522326096	-2.448142092	-1.008627706	-0.737211649	0.145822912	0.220304724	-1.022406086	0.483157684	-0.945006044	0.097542378	1.595955803	-2.326988228	-1.146234864	-0.491770127	-0.823740746	-1.162314033	0.966018984	0.716071511	-0.45987873	-0.292692475	-2.174070851	-1.905678788	-1.374478775	-1.550185808	-1.273275966	-1.999132538	-0.051069261	-0.704681771	-0.668165371	-1.092011371	-0.896400108	0.427032456	-1.482334333	0.454445188	-0.209987838	-1.13890261
ALPK1	6.592467563	6.488098776	6.355385659	5.598552918	6.428684833	5.843664059	5.962557178	6.529395612	6.592871744	6.471861029	5.543379755	6.143375388	6.613727533	6.608373873	6.712920949	6.889884497	6.250138258	6.654906798	6.185969266	7.131443273	6.063897239	5.444352186	6.855595709	6.949658773	6.308005902	6.656889993	7.360614535	5.681717548	6.79141656	6.807972018	6.128845087	6.045782246	5.955625746	5.579365004	5.42233123	6.405837956	6.900629375	6.273566974	6.290612656	6.466639522	6.408546885	7.456657106	6.602686363	6.844459946	6.59918965
PADI2	8.167774358	6.606376014	5.959716221	5.93162157	7.093420943	6.735793902	6.788447416	6.60564121	7.3546003	7.826106844	7.087133285	7.353803218	7.7794733	7.730785413	7.906805251	8.701937225	8.09351146	7.889690727	8.138205709	7.593905063	7.117336498	6.590167067	8.303894934	7.409878931	7.261152089	8.286255429	8.321639216	6.961344569	7.915734427	6.447980968	6.558662745	6.851589304	7.158035922	6.051226072	5.803614603	7.739843094	8.501666638	7.623389075	7.481635817	7.816556714	7.219521517	9.116276522	8.554231308	7.634053966	8.510652975
NFKBIA	7.25373843	6.856256872	7.056062183	6.757876698	6.784909582	6.679544679	6.51191318	6.758096286	7.118295019	7.431018934	6.898371642	6.899598101	7.028765032	7.040640675	7.411070069	6.86998494	7.009568002	7.197465745	7.244053199	7.694179339	6.882465137	6.896108515	7.831890935	8.111812052	7.363859137	7.731719472	7.86581863	7.021517094	7.218435951	7.057950271	6.75609931	6.714498707	6.988003124	6.495853458	6.724894	7.26111556	7.387594872	6.683510068	7.094721918	7.334821073	6.830123404	7.533359474	7.522924926	7.404155688	7.304040886
TTTY14	-0.59488451	-1.566408642	-0.590828067	0	0	0	0	0	-0.778541912	-0.799601999	-0.126213997	-1.178552707	-2.000246055	0	0	0	0	0	-0.36188924	-3.185403911	0	0	-1.192209845	-0.486705759	-0.162314033	0	0	0.610510598	-1.08118837	-1.437105257	0	0	0	0	0	-1.166546478	-0.257222794	0	-0.922086369	0	0	0	0	0	0
CEACAM4	6.431177786	6.022841217	5.688721426	5.41387415	4.32581516	4.387718616	4.90174698	5.57298488	6.219578355	6.237944955	5.734252262	5.756612343	6.073359986	6.20883271	6.762415342	6.196762434	6.17093099	5.847551876	6.142929747	5.818816555	4.082402708	4.554204854	5.608690055	5.42218719	5.816237548	6.657762503	6.462025888	5.853004225	6.270754705	5.970587392	5.987926117	3.931908469	4.824853624	3.844181615	5.352122228	6.642953715	6.669567359	5.865813201	6.130783532	6.253347012	5.821892073	6.562059787	6.534818605	5.817492899	6.674878581
PYGL	7.963536203	8.043825276	7.479504764	6.98339522	7.617764097	7.422927272	7.260680317	6.991486235	7.812668736	7.818324558	7.598981821	7.78651005	8.185124974	8.362684228	8.514706667	8.512091347	7.898707413	8.311034115	7.92235651	8.019472857	7.619430732	7.234767245	7.87253292	7.433647097	7.710446338	8.327140319	8.957430498	7.325410251	7.982206711	7.962920261	7.592971	7.264732712	7.73348136	6.692508318	5.988740506	8.08217177	9.048686945	7.457678562	8.033724959	8.211143924	7.777726135	8.967020692	8.350833659	8.412908733	8.531753639
CD59	5.66407404	5.721633459	6.166868969	5.079178759	5.383966912	5.48242304	5.203484915	5.253366946	5.679522871	5.702235186	5.601706458	5.364479113	5.860220204	6.027301089	5.935204377	5.571545198	5.585968489	5.571819581	6.052795995	6.958616958	5.693528789	5.436847903	6.344037371	6.480040002	5.813693112	6.437694198	6.127885109	5.57574518	5.79141656	6.102053554	5.192353295	5.412490907	5.432807767	5.138537632	5.224179676	5.768127274	6.584917992	5.171458355	5.909396824	6.017985024	5.971352972	6.225024799	5.585254059	5.740624135	5.941470807
LOC399715	1.627507911	1.648604249	2.043887469	0.231181852	0.766582934	0.737464655	0.740512939	0.802155834	2.045886523	2.266487192	1.944175331	1.865841412	1.262788351	1.397361679	2.056805992	1.764190276	0.547288021	1.948078752	1.22307326	0.943879106	0.788488989	0.807961446	1.535710609	1.057614757	1.39568142	1.323570989	2.681306093	2.367940295	0.546842853	1.99585415	-0.140144042	0.625521225	1.093670382	0.61980883	0.14770885	1.674755776	2.563807065	1.125383752	2.399841726	1.191062733	0.920072467	2.605128509	2.091875109	2.020309782	1.948560231
DENND3	8.496550876	8.780421645	8.551547749	7.589085691	8.217794046	7.757364213	7.574086857	8.283147938	8.448672893	8.637369746	7.810423942	8.308784908	8.442697441	8.355508353	8.773796886	8.696298019	8.251943507	8.342376539	7.9278415	8.472361124	7.837918698	7.767776464	7.900216971	8.360221044	8.263018447	8.282866168	8.915510164	8.248515458	8.53234998	8.755680702	8.012588171	7.878524486	8.091414408	7.307386397	7.631264612	8.622171854	8.69017063	8.211826227	8.403843656	8.502877817	8.118194361	9.104317836	8.605508721	8.368312271	8.769490011
NECAB2	4.614568855	3.796161438	2.942604133	2.653414853	2.871935934	2.322427156	1.338414495	1.410965077	2.680889706	3.747292461	2.741682467	3.187769507	2.405746305	3.196448985	3.861410303	4.466237453	3.601154893	3.067817996	3.813036442	0.7687924	2.27787383	2.876132949	-2.607247344	0.656252195	2.980643921	0.48958094	3.916211125	4.106936424	3.906463238	3.440638993	3.181784053	1.795446226	2.697741706	0.61980883	1.685365636	3.515277562	3.675090398	3.206303747	2.941411631	3.571205442	2.801427971	4.462524113	4.238716497	3.166388041	3.823029349
MRPL28	5.361249604	4.755519453	5.392465601	4.801644783	4.790967093	4.290916183	4.2280271	4.422742245	4.630849024	5.266487192	5.248825435	4.916844316	4.773222873	4.524994959	5.075914815	4.641507756	4.933619149	5.028998747	5.494536288	5.090720494	5.09367382	5.30703577	5.471348259	5.460687666	5.233815004	5.729231351	5.329378637	5.978081358	4.973107607	5.855676492	4.437729034	5.171313128	5.356704788	4.704003957	5.732671351	5.697639666	5.253739125	4.786887807	4.899510475	5.601451729	4.735540035	5.170152162	4.916303544	4.944440827	5.58447392
