id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000122733.12	13.73432752	-6.40315128	1.131239322	-5.660297651	1.51E-08	5.85E-07
ENSG00000107249.20	8.210682017	-5.653690821	1.201468751	-4.705649493	2.53E-06	5.51E-05
ENSG00000225476.1	7.826659593	-5.582421724	1.272297576	-4.387669857	1.15E-05	0.000200454
ENSG00000254946.1	11.75632244	-5.560108003	1.268273241	-4.383998512	1.17E-05	0.000202965
ENSG00000238266.1	7.651987184	-5.559647154	1.307040283	-4.253615764	2.10E-05	0.000340387
ENSG00000267898.1	7.105651536	-5.460842388	1.161461845	-4.701697615	2.58E-06	5.60E-05
ENSG00000132613.13	10.72764366	-5.443330945	1.325920523	-4.105322189	4.04E-05	0.00059012
ENSG00000250892.1	6.956981527	-5.42723945	1.230851155	-4.409338554	1.04E-05	0.00018399
ENSG00000280224.1	9.722142017	-5.321339099	1.428760769	-3.724443738	0.000195746	0.00218585
ENSG00000109819.7	6.07897057	-5.236512628	1.177366109	-4.447650215	8.68E-06	0.000157539
ENSG00000231766.1	5.686028823	-5.135860611	1.232862126	-4.165802893	3.10E-05	0.000472876
ENSG00000204049.1	5.605210202	-5.118181996	1.271562208	-4.025113333	5.69E-05	0.000782192
ENSG00000174348.12	5.511552731	-5.092911905	1.41217783	-3.60642392	0.000310446	0.003147878
ENSG00000235142.6	5.204667711	-5.008847637	1.522484405	-3.289917205	0.001002169	0.008089347
ENSG00000280242.1	5.088694575	-4.980646989	1.353808051	-3.678990522	0.000234159	0.002522129
ENSG00000234721.2	4.81824111	-4.898972385	1.479766966	-3.310637755	0.000930836	0.007604181
ENSG00000218891.4	4.781676632	-4.873586127	1.570534918	-3.103137709	0.001914805	0.013474113
ENSG00000247157.5	14.96094475	-4.854894381	1.118459804	-4.340696343	1.42E-05	0.000242415
ENSG00000235890.2	6.830276795	-4.781762433	1.201457242	-3.979968881	6.89E-05	0.000918487
ENSG00000242085.1	4.316763142	-4.730769139	3.030624295	-1.560988324	0.118526506	0.277439561
ENSG00000111664.9	4.295976163	-4.726940405	1.670239492	-2.830097377	0.004653384	0.026685479
ENSG00000256742.1	4.108607995	-4.662937308	1.366255639	-3.412931792	0.00064268	0.005634623
ENSG00000261916.1	6.328813019	-4.64935984	2.297318023	-2.023820731	0.0429886	0.137181989
ENSG00000261117.1	8.028193551	-4.640412337	2.524370392	-1.83824543	0.066026248	0.184934341
ENSG00000275431.1	4.035501458	-4.638655905	1.686255203	-2.750862323	0.005943862	0.03223036
ENSG00000174453.8	8.70244428	-4.585374427	1.029953124	-4.452022446	8.51E-06	0.000155007
ENSG00000280339.1	3.856561444	-4.57903017	1.369533481	-3.343496333	0.000827298	0.006916912
ENSG00000242488.2	3.767386362	-4.546472356	1.353975916	-3.357867966	0.000785461	0.006633747
ENSG00000230445.4	5.716028116	-4.543138766	1.339993408	-3.390418744	0.000697859	0.00602921
ENSG00000260412.1	3.767158936	-4.540490061	1.686147207	-2.69281949	0.007085062	0.03690234
ENSG00000181741.7	3.792216643	-4.539029551	1.246427889	-3.641630288	0.000270917	0.002830599
ENSG00000234323.4	5.826348468	-4.536615403	1.19369383	-3.800484923	0.000144413	0.001700262
ENSG00000240074.1	3.735066686	-4.518149089	1.349276712	-3.348571163	0.000812294	0.006814246
ENSG00000146250.6	5.58497023	-4.510978578	1.473199579	-3.062028149	0.002198428	0.015041307
ENSG00000251687.1	3.664841456	-4.493217256	1.414029152	-3.177598744	0.001485001	0.011056822
ENSG00000275101.1	3.675193928	-4.485543441	1.336688484	-3.355713388	0.000791606	0.006673753
ENSG00000229019.1	3.630815237	-4.48106585	3.015499476	-1.486011152	0.137276171	0.306009045
ENSG00000272545.1	3.615108944	-4.478756197	1.597917579	-2.802870596	0.005064999	0.028386744
ENSG00000258212.1	3.56879677	-4.465269246	1.556387427	-2.868995964	0.004117771	0.024307765
ENSG00000279942.1	7.37908357	-4.441521576	1.229002368	-3.613924343	0.000301597	0.003080553
ENSG00000271096.1	5.279127051	-4.424723417	1.392330766	-3.177925479	0.001483329	0.01104784
ENSG00000253085.1	3.42280298	-4.400403054	1.862054553	-2.363197709	0.018118001	0.073864738
ENSG00000267262.1	7.141694367	-4.391984543	1.252904071	-3.505443588	0.000455847	0.00426639
ENSG00000223443.2	11.38003824	-4.388255298	1.239891663	-3.53922478	0.000401304	0.003864017
ENSG00000241484.8	3.36833213	-4.366621446	1.877426733	-2.325854516	0.020026313	0.079671725
ENSG00000222005.7	3.339027755	-4.363056027	1.346159945	-3.241112649	0.001190641	0.009315687
ENSG00000182533.6	3.30846663	-4.354812628	1.683832251	-2.586250871	0.009702628	0.04675364
ENSG00000279161.1	3.335057964	-4.352548464	1.365169232	-3.188284912	0.001431194	0.010771215
ENSG00000157423.16	3.232432296	-4.311889643	1.90065103	-2.268638258	0.023290333	0.088896368
ENSG00000230684.1	4.97018419	-4.310359173	1.201394539	-3.587796543	0.000333484	0.003324606
ENSG00000232696.1	3.215082016	-4.297783149	1.495111471	-2.874557002	0.004045947	0.023991314
ENSG00000230001.1	3.186628311	-4.289999509	1.318218453	-3.254391941	0.001136354	0.008952988
ENSG00000179242.14	7.458225589	-4.278114128	1.094072091	-3.910267124	9.22E-05	0.00116817
ENSG00000267744.1	4.808737531	-4.228246859	1.339811699	-3.155851575	0.001600303	0.011691333
ENSG00000260555.1	4.680148898	-4.221874838	1.322939267	-3.191283942	0.00141642	0.010687275
ENSG00000106571.11	3.02504349	-4.212219453	1.891345631	-2.227101903	0.025940464	0.096119191
ENSG00000231956.1	2.986659026	-4.207002256	1.261391414	-3.33520762	0.000852357	0.007082662
ENSG00000227557.1	4.511960637	-4.196941617	1.314110392	-3.193751183	0.001404371	0.010614594
ENSG00000235397.1	4.572895648	-4.187232932	1.294159233	-3.235485113	0.001214362	0.009488755
ENSG00000248568.1	2.933572274	-4.183308087	1.618619376	-2.584491542	0.00975227	0.046924509
ENSG00000261734.1	4.674150215	-4.181735961	1.401052941	-2.984709455	0.002838478	0.018355646
ENSG00000169439.10	22.34299853	-4.181372203	0.862611232	-4.847342633	1.25E-06	3.01E-05
ENSG00000174482.9	6.541645192	-4.179918828	1.207193525	-3.462509316	0.000535163	0.004870295
ENSG00000171532.4	2.953303945	-4.177291663	1.704058713	-2.451377778	0.014231051	0.061960609
ENSG00000230184.1	9.116772832	-4.158072705	1.067257449	-3.896035307	9.78E-05	0.001226577
ENSG00000146950.11	2.888675213	-4.150891601	1.762973057	-2.354483856	0.018548449	0.075205762
