id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged_control	Unchallenged_control
ENSG00000000003.13	0.06069784	0.28780173	0.167317335	0.390935107	0.222716471	0	0.041392685	0.127104798	0.037426498	0.130333768	0.021189299	0.093421685
ENSG00000000419.11	1.251151343	1.176091259	1.034628457	1.243286146	1.33485569	1.508395033	1.228656958	1.143951116	1.310480891	1.15715444	1.062957834	1.232742063
ENSG00000000457.12	1.102090526	1.119585775	0.961421094	1.054613055	1.077367905	1.411788005	1.147985321	1.041392685	1.137986733	1.193958978	1.122870923	1.038620162
ENSG00000000460.15	1.080987047	1.009025742	0.982271233	1.208978517	1.078819183	0.851869601	0.736396502	0.882524538	1.016197354	0.979548375	1.000867722	1.031408464
ENSG00000000938.11	2.285714797	2.167937313	2.257534586	2.221779257	2.16781929	2.297300813	2.184918454	2.24293877	2.228990311	2.242516582	2.143264682	2.249076004
ENSG00000000971.14	0.739572344	0.409933123	0.238046103	0.650307523	0.532754379	0.450249108	0.691965103	0.419955748	0.416640507	0.367355921	0.167317335	0.428134794
ENSG00000001036.12	0.916453949	0.62324929	0.88592634	0.586587305	0.804139432	0.814913181	0.857935265	0.752048448	0.5774918	0.893206753	0.806179974	0.822168079
ENSG00000001084.9	1.388278863	1.334453751	1.165837625	1.094471129	1.20871002	1.027349608	1.13893394	1.120244796	1.220108088	1.290924559	1.44294987	1.294025094
ENSG00000001167.13	1.267875419	1.195346058	1.071513805	1.169086357	1.041392685	1.098989639	0.946452265	1.030599722	0.982271233	1.053846427	1.408070286	1.084218687
ENSG00000001460.16	0.743509765	0.357934847	0.463892989	0.431363764	0.369215857	0.178976947	0.164352856	0.096910013	0.318063335	0.431363764	0.552668216	0.28780173
ENSG00000001461.15	1.06069784	1.153814864	0.921166051	1.082066934	1.08170727	0.646403726	0.59439255	0.831869774	0.633468456	0.945960704	1.253822439	0.864511081
ENSG00000001497.15	0.565847819	0.820857989	0.442479769	0.836324116	0.767897616	0.437750563	0.599883072	0.563481085	0.496929648	0.46686762	0.604226053	0.57634135
ENSG00000001561.6	1.112269768	1.053462605	0.775974331	0.914343157	1.272073788	1.038222638	0.876217841	1.052693942	0.910624405	1.046885191	0.901458321	1.04060234
ENSG00000001629.8	1.189490314	1.400192489	1.301029996	1.218010043	1.445292769	0.948412966	0.958563883	0.818885415	0.932473765	1.102090526	1.428458774	1.256717746
ENSG00000001630.14	0.935507266	1.018284308	0.827369273	1.008174184	1.373647472	1.035829825	1.108226656	1.13225969	0.957607287	1.14332713	1.152899596	0.945468585
ENSG00000001631.13	1.553761698	1.45591024	1.356981401	1.349083169	1.336259552	1.106870544	1.17868924	1.214578954	1.163757524	1.341434525	1.631545228	1.426348574
ENSG00000002016.15	1.256717746	1.396373728	1.288249226	1.056904851	1.144885418	0.739572344	1.151063253	1.418135498	0.771587481	1.18920949	1.609274172	1.151063253
ENSG00000002330.12	0.808210973	0.667452953	0.442479769	0.600972896	0.650307523	0.624282096	0.264817823	0.571708832	0.475671188	0.530199698	0.638489257	0.80685803
ENSG00000002549.11	1.446692466	1.518250651	1.361916619	1.027349608	1.326949994	2.351022853	2.475293377	2.329946757	2.205556206	2.341394952	1.684216795	1.434249452
ENSG00000002586.16	1.493318608	1.411956238	1.473924693	1.468495025	1.50758604	1.09482038	1.14113609	1.174641193	1.154119526	1.249687428	1.773493892	1.333850145
ENSG00000002726.18	0.075546961	0.309630167	0.155336037	0.193124598	0.133538908	0.230448921	0.149219113	0.113943352	0.328379603	0.204119983	0	0.369215857
ENSG00000002745.11	0.278753601	0.206825876	0.176091259	0.120573931	0.378397901	0.149219113	0.08278537	0.029383778	0.089905111	0.267171728	0.269512944	0.255272505
ENSG00000002822.14	1.256958153	1.160168293	1.000434077	0.910090546	1.043362278	0.964730921	0.583198774	1.08278537	0.720985744	0.936513742	0.945468585	1.051152522
ENSG00000002834.16	2.113508841	2.134718841	2.172748839	2.077585906	2.018367578	1.900257858	2.010087847	1.932879458	2.057285644	2.041392685	2.140508043	1.968202668
ENSG00000002919.13	1.347134783	1.102776615	1.13225969	1.185258765	0.937016107	1.182699903	1.030599722	1.019531685	1.090963077	1.334252642	1.397592434	1.167317335
ENSG00000002933.6	1.523095838	1.740046724	1.301464073	1.554246808	1.48784512	1.497206181	1.678518379	1.416973173	1.780173244	1.365300749	0.658011397	1.766115283
ENSG00000003056.6	2.135800283	2.21779968	2.124080157	2.021726664	2.235755635	2.092018471	1.975569658	2.314835923	2.056638097	2.083072412	2.279461609	2.169292275
ENSG00000003147.16	0.294466226	0.692846919	0.354108439	0	0.348304863	0	0.025305865	0.522444234	0.123851641	0.079181246	0.562292864	0.301029996
ENSG00000003249.12	0.089905111	0.271841607	0.498310554	0.428134794	0.225309282	0.193124598	0.033423755	0.195899652	0.187520721	0.328379603	0.173186268	0.201397124
ENSG00000003393.13	0.991226076	0.738780558	0.869818208	0.80685803	0.995635195	0.844477176	0.459392488	0.946943271	0.592176757	0.796574333	1.007747778	0.965671971
ENSG00000003400.13	1.340444115	1.504878459	1.476396827	1.39252109	1.528273777	1.764101376	1.711216524	1.591843411	1.577951128	1.730943693	1.537441283	1.454692449
ENSG00000003402.18	2.449432113	2.448211468	2.446257488	2.488056919	2.376467457	2.462996612	2.444341515	2.190331698	2.393557656	2.409256652	2.449940989	2.483416113
ENSG00000003436.13	0.654176542	0.692846919	0.602059991	0.658964843	0.761175813	0.615950052	0.627365857	0.491361694	0.610660163	0.689308859	0.67669361	0.745855195
ENSG00000003509.14	1.07809415	0.866877814	0.835690571	0.788168371	1.026533265	0.791690649	0.726727209	1.170555059	0.695481676	0.802773725	0.96425963	1.104145551
ENSG00000003756.15	2.323128293	2.278799314	2.217220656	2.199563212	2.312642725	2.108294351	1.963126441	2.1771612	1.997692118	2.116408481	2.29710365	2.255200117
ENSG00000003987.12	0.553883027	0.618048097	0.509202522	0.639486489	0.703291378	0.378397901	0.28780173	0.53529412	0.28780173	0.564666064	0.62838893	0.710117365
ENSG00000004059.9	1.067814511	1.208172527	1.182984967	1.228913406	1.215637563	1.226599905	1.138618434	1.320146286	1.210586025	1.08170727	1.353146546	1.267875419
ENSG00000004139.12	0.530199698	0.494154594	0.5132176	0.220108088	0.346352974	0.285557309	0.209515015	0.447158031	0.315970345	0.326335861	0.656098202	0.426511261
ENSG00000004142.10	1.29666519	1.314920056	1.142389466	1.171726454	1.470410491	1.142076461	1.056523724	1.266231697	1.106190897	1.192846115	1.256958153	1.22762965
ENSG00000004399.11	1.033021445	0.923761961	1.008600172	0.878521796	0.930949031	0.403120521	0.394451681	0.833147112	0.537819095	0.583198774	1.252853031	0.843232778
