id	GeneSymbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EnsemblGene	EnsemblTranscript	EntrezID
ENSG00000122733.12	PHF24	13.73432752	-6.40315128	1.131239322	-5.660297651	1.51E-08	5.85E-07	ENSG00000122733	ENST00000242315;ENST00000440503;ENST00000476115;ENST00000486477	23349
ENSG00000107249.20	GLIS3	8.210682017	-5.653690821	1.201468751	-4.705649493	2.53E-06	5.51E-05	ENSG00000107249	ENST00000324333;ENST00000381971;ENST00000461870;ENST00000462164;ENST00000463680;ENST00000464391;ENST00000465708;ENST00000467497;ENST00000469833;ENST00000471664;ENST00000473846;ENST00000477901;ENST00000478315;ENST00000478844;ENST00000481827;ENST00000490709;ENST00000491889	169792
ENSG00000225476.1	MTCO3P5	7.826659593	-5.582421724	1.272297576	-4.387669857	1.15E-05	0.000200454	ENSG00000225476	ENST00000433620	---
ENSG00000254946.1	NA	11.75632244	-5.560108003	1.268273241	-4.383998512	1.17E-05	0.000202965	ENSG00000254946	ENST00000527770	---
ENSG00000238266.1	LINC00707	7.651987184	-5.559647154	1.307040283	-4.253615764	2.10E-05	0.000340387	ENSG00000238266	ENST00000436383	100507127
ENSG00000267898.1	NA	7.105651536	-5.460842388	1.161461845	-4.701697615	2.58E-06	5.60E-05	ENSG00000267898	ENST00000594305;ENST00000599784	---
ENSG00000132613.13	MTSS1L	10.72764366	-5.443330945	1.325920523	-4.105322189	4.04E-05	0.00059012	ENSG00000132613	ENST00000338779;ENST00000562883;ENST00000576338;ENST00000616026	92154
ENSG00000250892.1	NA	6.956981527	-5.42723945	1.230851155	-4.409338554	1.04E-05	0.00018399	ENSG00000250892	ENST00000507880	---
ENSG00000280224.1	NA	9.722142017	-5.321339099	1.428760769	-3.724443738	0.000195746	0.00218585	ENSG00000280224	ENST00000625038	---
ENSG00000109819.7	PPARGC1A	6.07897057	-5.236512628	1.177366109	-4.447650215	8.68E-06	0.000157539	ENSG00000109819	ENST00000264867;ENST00000503714;ENST00000505469;ENST00000506055;ENST00000507342;ENST00000507380;ENST00000508380;ENST00000509642;ENST00000509702;ENST00000512169;ENST00000513205;ENST00000514479;ENST00000514494;ENST00000514517;ENST00000515534;ENST00000612355;ENST00000613098;ENST00000617484	10891
ENSG00000231766.1	MTCO2P5	5.686028823	-5.135860611	1.232862126	-4.165802893	3.10E-05	0.000472876	ENSG00000231766	ENST00000422621	---
ENSG00000204049.1	NA	5.605210202	-5.118181996	1.271562208	-4.025113333	5.69E-05	0.000782192	ENSG00000204049	ENST00000372387	---
ENSG00000174348.12	PODN	5.511552731	-5.092911905	1.41217783	-3.60642392	0.000310446	0.003147878	ENSG00000174348	ENST00000312553;ENST00000371500;ENST00000395871;ENST00000471210;ENST00000471285;ENST00000490650;ENST00000618387	127435
ENSG00000235142.6	NA	5.204667711	-5.008847637	1.522484405	-3.289917205	0.001002169	0.008089347	ENSG00000235142	ENST00000415714;ENST00000418134;ENST00000427903;ENST00000428750;ENST00000430094;ENST00000433965;ENST00000436659;ENST00000602621;ENST00000602934;ENST00000606430;ENST00000607090;ENST00000607758	100422737
ENSG00000280242.1	NA	5.088694575	-4.980646989	1.353808051	-3.678990522	0.000234159	0.002522129	ENSG00000280242	ENST00000622913	---
ENSG00000234721.2	LINC02092	4.81824111	-4.898972385	1.479766966	-3.310637755	0.000930836	0.007604181	ENSG00000234721	ENST00000455366;ENST00000584660	400620
ENSG00000218891.4	ZNF579	4.781676632	-4.873586127	1.570534918	-3.103137709	0.001914805	0.013474113	ENSG00000218891	ENST00000325421;ENST00000592239	163033
ENSG00000247157.5	LINC01252	14.96094475	-4.854894381	1.118459804	-4.340696343	1.42E-05	0.000242415	ENSG00000247157	ENST00000499291;ENST00000541162;ENST00000545239	338817
ENSG00000235890.2	TSPEAR-AS1	6.830276795	-4.781762433	1.201457242	-3.979968881	6.89E-05	0.000918487	ENSG00000235890	ENST00000430181;ENST00000451035	---
ENSG00000242085.1	NA	4.316763142	-4.730769139	3.030624295	-1.560988324	0.118526506	0.277439561	ENSG00000242085	ENST00000476081	---
ENSG00000111664.9	GNB3	4.295976163	-4.726940405	1.670239492	-2.830097377	0.004653384	0.026685479	ENSG00000111664	ENST00000229264;ENST00000435982;ENST00000537035;ENST00000539127;ENST00000540458;ENST00000541257;ENST00000541978;ENST00000542751;ENST00000542868	2784
ENSG00000256742.1	NA	4.108607995	-4.662937308	1.366255639	-3.412931792	0.00064268	0.005634623	ENSG00000256742	ENST00000541574	---
ENSG00000261916.1	NA	6.328813019	-4.64935984	2.297318023	-2.023820731	0.0429886	0.137181989	ENSG00000261916	ENST00000575593	---
ENSG00000261117.1	NA	8.028193551	-4.640412337	2.524370392	-1.83824543	0.066026248	0.184934341	ENSG00000261117	ENST00000569860	---
ENSG00000275431.1	NA	4.035501458	-4.638655905	1.686255203	-2.750862323	0.005943862	0.03223036	ENSG00000275431	ENST00000612584;ENST00000617687	---
ENSG00000174453.8	VWC2L	8.70244428	-4.585374427	1.029953124	-4.452022446	8.51E-06	0.000155007	ENSG00000174453	ENST00000312504;ENST00000427124;ENST00000477752	402117
ENSG00000280339.1	NA	3.856561444	-4.57903017	1.369533481	-3.343496333	0.000827298	0.006916912	ENSG00000280339	ENST00000624364	---
ENSG00000242488.2	NA	3.767386362	-4.546472356	1.353975916	-3.357867966	0.000785461	0.006633747	ENSG00000242488	ENST00000498401	---
ENSG00000230445.4	LRRC37A6P	5.716028116	-4.543138766	1.339993408	-3.390418744	0.000697859	0.00602921	ENSG00000230445	ENST00000284414;ENST00000448648;ENST00000574795;ENST00000575554	---
ENSG00000260412.1	NA	3.767158936	-4.540490061	1.686147207	-2.69281949	0.007085062	0.03690234	ENSG00000260412	ENST00000566293	---
ENSG00000181741.7	FDX1P1	3.792216643	-4.539029551	1.246427889	-3.641630288	0.000270917	0.002830599	ENSG00000181741	ENST00000449115	---
ENSG00000234323.4	LINC01505	5.826348468	-4.536615403	1.19369383	-3.800484923	0.000144413	0.001700262	ENSG00000234323	ENST00000425709;ENST00000435485;ENST00000444985;ENST00000636028;ENST00000637046;ENST00000637185	100996590
ENSG00000240074.1	NA	3.735066686	-4.518149089	1.349276712	-3.348571163	0.000812294	0.006814246	ENSG00000240074	ENST00000478775	---
ENSG00000146250.6	PRSS35	5.58497023	-4.510978578	1.473199579	-3.062028149	0.002198428	0.015041307	ENSG00000146250	ENST00000369700	167681
ENSG00000251687.1	NA	3.664841456	-4.493217256	1.414029152	-3.177598744	0.001485001	0.011056822	ENSG00000251687	ENST00000514334	---
ENSG00000275101.1	MIR6766	3.675193928	-4.485543441	1.336688484	-3.355713388	0.000791606	0.006673753	ENSG00000275101	ENST00000622641	102466983
ENSG00000229019.1	NA	3.630815237	-4.48106585	3.015499476	-1.486011152	0.137276171	0.306009045	ENSG00000229019	ENST00000434656	---
ENSG00000272545.1	NA	3.615108944	-4.478756197	1.597917579	-2.802870596	0.005064999	0.028386744	ENSG00000272545	ENST00000607580	---
ENSG00000258212.1	ZNF75BP	3.56879677	-4.465269246	1.556387427	-2.868995964	0.004117771	0.024307765	ENSG00000258212	ENST00000546499	---
ENSG00000279942.1	NA	7.37908357	-4.441521576	1.229002368	-3.613924343	0.000301597	0.003080553	ENSG00000279942	ENST00000624365	---
ENSG00000271096.1	SUMO2P14	5.279127051	-4.424723417	1.392330766	-3.177925479	0.001483329	0.01104784	ENSG00000271096	ENST00000604488	---
ENSG00000253085.1	NA	3.42280298	-4.400403054	1.862054553	-2.363197709	0.018118001	0.073864738	ENSG00000253085	ENST00000517276	---
ENSG00000267262.1	NA	7.141694367	-4.391984543	1.252904071	-3.505443588	0.000455847	0.00426639	ENSG00000267262	ENST00000587759	---
ENSG00000223443.2	USP17L2	11.38003824	-4.388255298	1.239891663	-3.53922478	0.000401304	0.003864017	ENSG00000223443	ENST00000333796	377630
