"Set"	"p.val"	"q.val"	"set.size"
"hsa04062 Chemokine signaling pathway"	0.0679998854586927	0.666206218292305	16
"hsa04610 Complement and coagulation cascades"	0.0732876077712661	0.666206218292305	15
"hsa04620 Toll-like receptor signaling pathway"	0.130642325179499	0.666206218292305	12
"hsa04514 Cell adhesion molecules (CAMs)"	0.150767311878331	0.666206218292305	17
"hsa04380 Osteoclast differentiation"	0.201380985063641	0.666206218292305	10
"hsa04742 Taste transduction"	0.229275621493098	0.666206218292305	10
"hsa04630 Jak-STAT signaling pathway"	0.255446020785782	0.666206218292305	13
"hsa04622 RIG-I-like receptor signaling pathway"	0.255480918924867	0.666206218292305	11
"hsa04310 Wnt signaling pathway"	0.290425662178422	0.666206218292305	12
"hsa04974 Protein digestion and absorption"	0.317241056329669	0.666206218292305	11
"hsa04512 ECM-receptor interaction"	0.430467353201092	0.821801310656631	20
"hsa04621 NOD-like receptor signaling pathway"	0.575968790721155	0.929530771486051	10
"hsa04144 Endocytosis"	0.613429236721661	0.929530771486051	10
"hsa04510 Focal adhesion"	0.629732039050656	0.929530771486051	22
"hsa04145 Phagosome"	0.663950551061465	0.929530771486051	11
"hsa04972 Pancreatic secretion"	0.839143865762739	0.953743630330263	10
"hsa04810 Regulation of actin cytoskeleton"	0.862569608155168	0.953743630330263	11
"hsa04612 Antigen processing and presentation"	0.874512734947679	0.953743630330263	15
"hsa04650 Natural killer cell mediated cytotoxicity"	0.881578482813957	0.953743630330263	13
"hsa04010 MAPK signaling pathway"	0.94032315635575	0.953743630330263	21
"hsa04020 Calcium signaling pathway"	0.953743630330263	0.953743630330263	14
"hsa00010 Glycolysis / Gluconeogenesis"	NA	NA	8
"hsa00020 Citrate cycle (TCA cycle)"	NA	NA	1
"hsa00030 Pentose phosphate pathway"	NA	NA	2
"hsa00040 Pentose and glucuronate interconversions"	NA	NA	0
"hsa00051 Fructose and mannose metabolism"	NA	NA	2
"hsa00052 Galactose metabolism"	NA	NA	1
"hsa00053 Ascorbate and aldarate metabolism"	NA	NA	1
"hsa00061 Fatty acid biosynthesis"	NA	NA	0
"hsa00071 Fatty acid metabolism"	NA	NA	4
"hsa00072 Synthesis and degradation of ketone bodies"	NA	NA	1
"hsa00100 Steroid biosynthesis"	NA	NA	1
"hsa00120 Primary bile acid biosynthesis"	NA	NA	0
"hsa00130 Ubiquinone and other terpenoid-quinone biosynthesis"	NA	NA	0
"hsa00140 Steroid hormone biosynthesis"	NA	NA	3
